time,isFallen,recoveryState,recoveryTimer,up_z,isProne,r_hip_tgt,r_knee_tgt,r_ankle_tgt,r_arm_tgt
0.362,1,0,0.34,-0.421317,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.341,-0.420454,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.342,-0.419583,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.343,-0.418703,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.344,-0.417816,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.345,-0.41692,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.346,-0.416016,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.347,-0.415103,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.348,-0.414183,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.349,-0.413254,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.35,-0.412317,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.351,-0.411372,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.352,-0.410418,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.353,-0.409457,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.354,-0.408486,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.355,-0.407508,0,-0.04,0.04,0,-0.0984229
0.362,1,0,0.356,-0.406521,0,-0.04,0.04,0,-0.0984229
